DataType,Description,Name,Code,Status,UnitOfMeasure.UnitCode
Text,,API Type Picklist,API Type Picklist,Active,
Number,,Base Core Count Picklist,Base Core Count Picklist,Active,
Text,,Cable Length Picklist,Cable Length Picklist,Active,
Text,,Connector Type Picklist,Connector Type Picklist,Active,
Text,,Data Storage Picklist,Data Storage Picklist,Active,
Number,,Data Utilization,Data Utilization,Active,
Text,,DIMM Type,DIMM Type,Active,
Text,,Engineering Options Picklist,Engineering Options Picklist,Active,
Text,,Front Storage,Front Storage,Active,
Text,,Network Adapter Type Picklist,Network Adapter Type Picklist,Active,
Text,,Operating System Picklist,Operating System Picklist,Active,
Text,,PCIe Lane Type,PCIe Lane Type,Active,
Text,,Performance Tier,Performance Tier,Active,
Text,,Processor Frequency Picklist,Processor Frequency Picklist,Active,
Text,,RAID,RAID,Active,
Text,,RAM Config Picklist,RAM Config Picklist,Active,
Text,,RAM Picklist,RAM Picklist,Active,
Text,,Rear Storage,Rear Storage,Active,
Text,,Redundancy,Redundancy,Active,
Text,,Resource Location Picklist,Resource Location Picklist,Active,
Text,,Server Configuration Picklist,Server Configuration Picklist,Active,
Boolean,,Socket Configuration,Socket Configuration,Active,
Text,,Storage Profile,Storage Profile,Active,
Text,,Subscription Type Picklist,Subscription Type Picklist,Active,
Text,,Workload,Workload,Active,
