Account.Name,AssistantName,AssistantPhone,Birthdate,CurrencyIsoCode,Department,Description,Email,Fax,FirstName,HomePhone,IsPersonAccount,LastName,LeadSource,MailingCity,MailingCountry,MailingPostalCode,MailingState,MailingStreet,MobilePhone,Name,OtherCity,OtherCountry,OtherPhone,OtherPostalCode,OtherState,OtherStreet,Phone,PhotoUrl,ReportsTo.Name,Salutation,Title
Pacific Solutions,,,,USD,,,,,Wiley,,false,Coyote,,San Diego,US,92107,CA,5015 Cape May Ave Apt 211,,Wiley Coyote,,,,,,,5704607363,/services/images/photo/003Hu00003rBOj2IAG,,,
Solutions Inc.,,,,USD,,,,,jon,,false,jack,,San Diego,US,92107,CA,5015 Cape May Ave Apt 211,,jon jack,,,,,,,5704607363,/services/images/photo/003Hu00003rBOeWIAW,,,
Ohana Enterprises,,,,USD,,,,,Joe,,false,Taylor,,San Diego,US,92107,CA,5015 Cape May Ave Apt 211,,Joe Taylor,,,,,,,5704607363,/services/images/photo/003Hu00003rBOixIAG,,Mr.,VP
Omega Inc,,,,USD,,,,,Kendra,,false,Billingsly,,East Stroudsburg,United States,18301,PA,569 Hollow Road,,Kendra Billingsly,,,,,,,5704607363,/services/images/photo/003Hu00003rBOiyIAG,,,
salesforce.com,,,,USD,,"Marc R. Benioff is chairman and CEO of salesforce.com. He founded the company in March 1999 with the idea to create an information utility that would make traditional enterprise software technology and business models obsolete. A veteran of 25 years in the software industry, he is now regarded as a pioneer of ""The End Of Software,"" demonstrating how on-demand applications can replace traditional software to deliver immediate benefit at reduced risk. In May 2003, Benioff was appointed by President George W. Bush as co-chair of the President's Information Technology Advisory Committee (PITAC), a bi-partisan organization of business leaders and academics charged to advise The President on how to maintain the United States' preeminent position in information technology.",info@salesforce.com,(415) 901-7040,Marc,,false,Benioff,,San Francisco,USA,94105,CA,"The Landmark @ One Market, Suite 300",,Marc Benioff,San Francisco,USA,,94105,CA,"The Landmark @ One Market, Suite 300",(415) 901-7000,/services/images/photo/003Hu000048MVDyIAO,,Mr.,Executive Officer
Acme,,,,USD,,,info@salesforce.com,(212) 555-5555,Howard,,false,Jones,,New York,USA,31349,NY,10 Main Rd.,,Howard Jones,,,,,,,(212) 555-5555,/services/images/photo/003Hu000048MVDsIAO,,,Buyer
Global Media,,,,USD,,,info@salesforce.com,,Geoff,,false,Minor,,Toronto,Canada,L4B 1Y3,Ontario,150 Chestnut Street,,Geoff Minor,Toronto,Canada,,L4B 1Y3,Ontario,150 Chestnut Street,(415) 555-1212,/services/images/photo/003Hu000048MVDvIAO,,,President
Global Media,,,,USD,,Carole White is looking at moving forward with our products and will act as the champion for us.,info@salesforce.com,,Carole,,false,White,Employee Referral,Toronto,Canada,L4B 1Y3,Ontario,150 Chestnut Street,,Carole White,,,,,,,(415) 555-1212,/services/images/photo/003Hu000048MVDwIAO,Geoff Minor,,VP Sales
Global Media,,,,USD,,,info@salesforce.com,(555) 555-1212,Jon,,false,Amos,,Toronto,Canada,L4B 1Y3,Ontario,150 Chestnut Street,,Jon Amos,,,,,,,(905) 555-1212,/services/images/photo/003Hu000048MVDuIAO,Carole White,,Sales Manager
Acme,,,,USD,,,info@salesforce.com,(212) 555-5555,Edward,,false,Stamos,,New York City,USA,31349,NY,10 Main Rd.,,Edward Stamos,New York City,USA,,31349,NY,10 Main Rd.,(212) 555-5555,/services/images/photo/003Hu000048MVDxIAO,,,President and CEO
Acme,,,,USD,,,info@salesforce.com,(212) 555-5555,Leanne,,false,Tomlin,,New York,USA,31349,NY,10 Main Rd.,,Leanne Tomlin,,,,,,,(212) 555-5555,/services/images/photo/003Hu000048MVDtIAO,,,VP Customer Support
