$$AttributeCategory.Code$AttributeDefinition.Code,AttributeCategory.Code,AttributeDefinition.Code
AC-QB;ATTR-QB-DATATHROUGHPUTTB,AC-QB,ATTR-QB-DATATHROUGHPUTTB
AC-QB;ATTR-QB-FLOWS,AC-QB,ATTR-QB-FLOWS
AC-QB;ATTR-QB-MESSAGES,AC-QB,ATTR-QB-MESSAGES
AC-QB-API;ATTR-QB-API,AC-QB-API,ATTR-QB-API
AC-QB-CABLES;ATTR-QB-CONNECTOR,AC-QB-CABLES,ATTR-QB-CONNECTOR
AC-QB-CABLES;ATTR-QB-LENGTH,AC-QB-CABLES,ATTR-QB-LENGTH
AC-QB-CPU;ATTR-QB-CPUFRQ,AC-QB-CPU,ATTR-QB-CPUFRQ
AC-QB-NIC;ATTR-QB-NIC,AC-QB-NIC,ATTR-QB-NIC
AC-QB-OS;ATTR-QB-OS,AC-QB-OS,ATTR-QB-OS
AC-QB-PS-ENGRESOURCES;ATTR-QB-PS-ENGOPTIONS,AC-QB-PS-ENGRESOURCES,ATTR-QB-PS-ENGOPTIONS
AC-QB-PS-ENGRESOURCES;ATTR-QB-PSRESOURCELOCATION,AC-QB-PS-ENGRESOURCES,ATTR-QB-PSRESOURCELOCATION
AC-QB-PS-SUBTYPE;ATTR-QB-SUBTYPE,AC-QB-PS-SUBTYPE,ATTR-QB-SUBTYPE
AC-QB-PSBUNDLE;ATTR-QB-PS-NOTES,AC-QB-PSBUNDLE,ATTR-QB-PS-NOTES
AC-QB-RAM;ATTR-QB-RAM,AC-QB-RAM,ATTR-QB-RAM
AC-QB-RAM;ATTR-QB-RAMMAX,AC-QB-RAM,ATTR-QB-RAMMAX
AC-QB-SERVER;ATTR-QB-SRVCONFIG,AC-QB-SERVER,ATTR-QB-SRVCONFIG
AC-QB-SPEC;ATTR-QB-BASECORECNT,AC-QB-SPEC,ATTR-QB-BASECORECNT
AC-QB-STORAGE;ATTR-QB-DATASTORAGE,AC-QB-STORAGE,ATTR-QB-DATASTORAGE
AC-QB-UTILIZATION;ATTR-QB-DATAUTIL,AC-QB-UTILIZATION,ATTR-QB-DATAUTIL
